642 1280
-76.457540 -45.442716 4.841766
-75.198157 44.308598 3.683010
-84.190772 -40.558622 -26.054736
-83.236451 39.206553 -26.685872
-69.802122 -48.944275 13.868141
-60.392514 -36.571878 42.677115
-63.330967 -27.239002 44.938407
-65.533252 -16.527073 46.589495
-65.946642 -4.780042 46.785000
-68.498061 47.704373 12.429206
-66.025648 6.882698 46.711690
-65.284728 18.120655 45.981790
-63.469306 28.550435 44.394399
-60.446661 37.464700 41.850736
-90.397978 -24.376389 -46.672432
-86.598672 22.570195 -45.173227
-80.192454 -47.013969 -15.640406
-78.455843 45.079337 -16.377844
-63.307474 -51.633653 21.785343
-62.348704 50.611834 20.203221
-57.870289 -45.505287 37.438108
-73.830380 -51.491062 -5.264284
-71.203581 48.757943 -6.272600
-57.668848 45.742408 36.216132
-86.898467 -12.299482 -54.355850
-82.649586 11.199251 -51.841999
-81.369804 -46.824704 -38.386434
-79.218932 44.157832 -38.384650
-67.235800 -54.916241 4.191504
-65.532968 52.728239 2.785847
-73.687393 -50.780267 -26.154984
-73.762620 49.591067 -27.362679
-76.021005 -0.057918 -56.331035
-60.817601 -57.519089 13.034355
-59.731165 55.817002 11.426954
-85.280146 -38.955629 -50.243911
-80.532562 35.360803 -48.164006
-56.592323 -52.205241 30.562114
-68.987964 -56.233877 -15.754978
-54.857521 -33.295031 50.465525
-57.149272 -22.853127 52.770720
-58.397614 -11.095375 53.955052
-67.264331 53.539839 -16.635599
-59.450985 1.249561 54.925929
-59.066456 13.288698 54.377072
-57.353677 24.531208 52.430414
-54.716309 34.350453 49.520963
-56.036472 51.650033 28.994910
-62.931345 -59.798290 -5.683125
-61.604945 57.344414 -6.945496
-82.934817 -26.669056 -59.487733
-79.100439 24.277468 -57.173805
-69.885392 -56.745984 -37.867633
-52.514311 -43.177578 45.273495
-69.468692 54.661289 -38.934613
-52.434172 43.781097 44.171554
-56.909967 -62.402608 3.426705
-56.065958 60.411455 1.913705
-54.302728 -58.821763 22.306544
-62.493690 -59.404015 -25.771368
-61.922677 57.278213 -26.889384
-53.509591 57.454363 20.559174
-76.616294 -13.058557 -65.646443
-72.240243 11.534848 -61.940483
-49.172078 -52.141439 39.067106
-74.189879 -51.465428 -50.494787
-73.184169 48.909939 -50.940879
-48.947564 52.083791 37.633637
-57.175441 -63.176514 -15.494496
-56.738221 61.208706 -16.829878
-48.037700 -29.200529 58.705385
-49.419780 -17.585221 60.545278
-50.387238 -5.111099 61.782161
-51.169340 7.662699 62.750461
-50.042115 19.809320 60.995769
-47.867987 30.569581 57.760281
-62.127234 -0.126769 -62.189744
-51.733251 -65.873477 -5.962480
-51.789551 64.631969 -7.502641
-75.905013 -42.212179 -63.468559
-73.134367 38.832726 -61.938739
-50.224680 -63.917525 12.647874
-57.177485 -63.661833 -36.082934
-58.054158 62.776600 -38.176234
-50.033372 62.825354 11.100235
-46.731607 -59.110388 31.443735
-45.503774 -39.681839 53.352446
-46.325427 58.312418 29.740821
-45.572454 40.742411 52.502288
-51.449265 -66.351990 -25.055606
-50.812264 63.673160 -26.241170
-71.511371 -28.286113 -72.039100
-68.570507 25.612760 -69.482148
-60.856718 -60.988995 -48.631776
-61.119493 59.139319 -50.273481
-46.713687 -69.482677 -15.285409
-46.795074 67.952101 -16.929852
-42.352681 -49.692355 47.116183
-42.128008 49.870899 45.647825
-45.528891 -68.417869 2.557469
-45.575316 67.281031 0.966586
-61.009016 -12.864503 -72.676696
-58.670331 11.427736 -69.919646
-42.943700 -65.079663 22.200185
-63.450728 -55.106664 -62.979405
-39.259564 -23.783957 65.829294
-63.247583 52.671948 -64.025627
-40.237700 -11.553516 67.668002
-41.584526 1.429590 70.245107
-41.471457 14.368008 69.863893
-39.190339 25.581906 65.108850
-42.770105 64.136186 20.573377
-46.221975 -70.084342 -34.681528
-46.069891 67.693609 -36.171513
-38.395693 -58.192040 39.851084
-38.320829 58.071301 38.390279
-51.985499 -0.248174 -72.520430
-41.617626 -72.853192 -24.486764
-41.269546 70.163848 -25.933262
-36.957956 -35.027872 61.296646
-62.269099 -43.936564 -75.497759
-59.982735 40.120125 -73.448067
-36.702164 36.071814 59.942662
-40.299580 -72.101091 -7.156230
-47.703372 -67.718434 -45.747842
-48.472060 66.613277 -48.160395
-40.347732 70.627683 -8.842745
-38.283605 -70.098159 12.070100
-38.147451 68.751536 10.384314
-34.660631 -64.663421 31.319072
-33.775763 -45.686263 54.972388
-53.941415 -27.286060 -78.324892
-52.609967 24.983616 -76.788512
-33.506031 46.049502 53.347641
-34.512644 63.916108 29.641464
-48.488647 -62.991676 -58.474227
-49.102422 61.432801 -60.773751
-36.176858 -75.165556 -33.155909
-35.934605 72.299273 -34.626093
-29.053602 -17.343145 70.704569
-30.246230 -5.108313 74.314539
-30.655137 7.949267 75.448108
-29.134808 19.604980 70.525951
-35.020457 -75.519536 -16.748432
-34.943731 73.408824 -18.455684
-29.975272 -54.989210 47.379065
-45.373815 -12.451154 -78.075663
-45.177601 11.333591 -77.971082
-29.846488 54.995259 45.825528
-33.059501 -74.075984 1.594156
-47.638008 -54.606488 -71.368783
-48.102556 52.759656 -73.420646
-32.998207 72.470518 -0.133103
-35.802142 -72.124339 -42.478039
-35.960547 70.105890 -44.373187
-29.991234 -69.911076 21.452424
-27.033770 -29.146261 68.209287
-26.678943 30.343626 66.330011
-29.909278 68.842318 19.745654
-25.896448 -62.465442 39.200164
-38.322648 -0.309949 -77.777025
-25.851356 62.168708 37.644088
-42.666767 -40.304380 -78.171490
-42.361605 37.921952 -78.445571
-29.642278 -78.314645 -26.029932
-34.695596 -66.898468 -52.589334
-36.204293 67.844383 -56.917527
-29.393890 75.284184 -27.565546
-23.728284 -39.967352 61.663060
-23.474903 40.553948 59.811653
-27.542184 -77.070002 -8.288303
-27.352184 74.628609 -10.002585
-24.850680 -74.155264 11.021454
-35.121012 -24.180627 -77.463582
-18.688543 -10.730977 73.967545
-35.039034 22.646709 -77.797910
-19.218319 1.509140 77.014225
